	fname	Emotion_pos_mean	Emotion_neg_mean	Emotion_pos_series	Emotion_neg_series	fname	Char_pos_mean	Char_neg_mean	Char_pos_series	Char_neg_series	fname	Body_pos_mean	Body_neg_mean	Body_pos_series	Body_neg_series	fname	Attraction_mean	Attraction_series	fname	ME_series	ME_long	fname	HE_series	fname	CO_series
k00300002554	k00300002554§emotions_dataset.tsv	0.02767475035663338	0.019686162624821684	[0.5, 2.25, 0.75, 0.5, 0.25, 0.0, 0.0, 0.25, 0.0, 0.5, 0.25, 1.0, 0.5, 0.5, 0.25, 4.5, 4.333333333333333, 6.666666666666667, 2.0, 3.3333333333333335]	[0.25, 0.5, 2.0, 0.0, 0.25, 1.25, 0.25, 0.5, 0.0, 1.25, 0.5, 0.25, 0.5, 0.5, 0.0, 7.0, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333, 1.3333333333333333]	k00300002554§character_dataset.tsv	0.015691868758915834	0.007417974322396576	[0.5, 0.5, 0.0, 1.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.75, 0.75, 1.0, 1.25, 1.0, 0.0, 1.25, 1.6666666666666667, 3.3333333333333335, 1.3333333333333333, 0.6666666666666666]	[0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.5, 0.5, 0.5, 0.0, 1.0, 0.0, 1.5, 1.6666666666666667, 0.6666666666666666, 0.0, 0.0]	k00300002554§body_dataset.tsv	0.04022824536376605	0.006276747503566334	[5.75, 0.0, 0.75, 2.75, 0.25, 0.5, 0.0, 0.25, 0.5, 0.75, 1.0, 1.75, 3.25, 1.0, 0.0, 4.75, 5.0, 9.0, 1.0, 1.0]	[0.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.75, 0.0, 0.25, 0.0, 0.5, 0.0, 2.25, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333]	k00300002554§attraction_dataset.tsv	0.08359486447931526	[6.5, 1.0, 0.5, 2.25, 0.75, 0.5, 0.0, 0.5, 1.0, 1.75, 2.75, 4.25, 5.5, 2.5, 0.5, 11.75, 14.333333333333334, 19.333333333333332, 4.0, 4.0]	k00300002554§ME.tsv	[0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1]	2	k00300002554§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300002554§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
k00300000050	k00300000050§emotions_dataset.tsv	0.017716535433070866	0.02099737532808399	[0.0, 3.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 5.0, 0.0, 9.0]	[0.5, 1.0, 0.0, 2.0, 6.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 3.0, 0.0, 11.0, 0.0, 5.0]	k00300000050§character_dataset.tsv	0.006561679790026247	0.023622047244094488	[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 1.0]	[3.5, 7.0, 1.0, 6.0, 5.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 4.0, 0.0, 2.0, 0.0, 1.0]	k00300000050§body_dataset.tsv	0.028871391076115485	0.0032808398950131233	[3.5, 3.0, 1.0, 2.0, 6.0, 0.0, 3.0, 1.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 7.0, 0.0, 6.0, 0.0, 4.0]	[0.5, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]	k00300000050§attraction_dataset.tsv	0.03740157480314961	[1.5, 2.0, 0.0, 3.0, 7.0, 0.0, 6.0, 0.0, 5.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0, 11.0, 0.0, 13.0]	k00300000050§ME.tsv	[0, 0, array(1), array(1), array(1), array(1), array(0), array(0), array(1), array(1), array(1), array(0), array(1), array(1), array(0), array(1), array(0), array(1), array(0), array(1)]	2	k00300000050§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300000050§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
k00300002084	k00300002084§emotions_dataset.tsv	0.02242493348536678	0.01976434815659445	[0.8571428571428571, 0.5714285714285714, 0.5714285714285714, 0.0, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571, 0.42857142857142855, 1.2857142857142858, 0.7142857142857143, 0.14285714285714285, 0.16666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666, 0.5, 0.0, 0.5, 0.6666666666666666]	[1.2857142857142858, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.0, 0.2857142857142857, 0.14285714285714285, 1.5714285714285714, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 1.0, 0.16666666666666666, 1.3333333333333333, 0.0, 0.16666666666666666, 0.0, 0.3333333333333333, 0.16666666666666666]	k00300002084§character_dataset.tsv	0.012922843025465602	0.014823261117445839	[1.2857142857142858, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285, 0.2857142857142857, 0.0, 0.2857142857142857, 0.5714285714285714, 0.7142857142857143, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0]	[1.0, 0.0, 0.0, 0.7142857142857143, 0.8571428571428571, 0.14285714285714285, 0.2857142857142857, 1.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.6666666666666666, 0.0, 0.5, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666]	k00300002084§body_dataset.tsv	0.02356518434055492	0.005701254275940707	[2.857142857142857, 0.0, 0.2857142857142857, 0.2857142857142857, 0.8571428571428571, 0.14285714285714285, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.5714285714285714, 0.14285714285714285, 0.0, 0.3333333333333333, 0.5, 0.3333333333333333, 0.0, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0]	[0.14285714285714285, 0.0, 0.2857142857142857, 0.0, 0.2857142857142857, 0.0, 0.14285714285714285, 0.2857142857142857, 0.0, 0.0, 0.0, 0.2857142857142857, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666]	k00300002084§attraction_dataset.tsv	0.039148612694792854	[2.5714285714285716, 0.42857142857142855, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.0, 1.5714285714285714, 1.2857142857142858, 1.8571428571428572, 1.0, 1.0, 0.5714285714285714, 0.6666666666666666, 0.16666666666666666, 1.8333333333333333, 0.16666666666666666, 1.0, 0.0, 0.5, 0.3333333333333333]	k00300002084§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	7	k00300002084§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	k00300002084§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
k00300002591	k00300002591§emotions_dataset.tsv	0.027172374752335127	0.02066232663458817	[0.5, 1.0, 0.25, 1.0, 1.75, 0.75, 1.5, 0.25, 1.0, 1.25, 0.5, 1.0, 0.6666666666666666, 0.0, 1.0, 0.0, 0.6666666666666666, 1.6666666666666667, 3.6666666666666665, 10.0]	[1.75, 1.75, 0.5, 2.5, 0.5, 2.0, 2.5, 0.5, 1.0, 0.25, 0.25, 0.75, 0.6666666666666666, 1.0, 0.6666666666666666, 0.0, 0.0, 1.6666666666666667, 0.6666666666666666, 0.6666666666666666]	k00300002591§character_dataset.tsv	0.0093405038211152	0.006510048117746957	[0.5, 1.25, 0.25, 0.25, 0.75, 0.5, 1.0, 0.5, 0.5, 0.25, 0.0, 0.25, 0.3333333333333333, 0.0, 1.0, 0.0, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.3333333333333333]	[0.0, 1.0, 0.5, 1.25, 0.5, 0.25, 0.25, 0.5, 0.25, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	k00300002591§body_dataset.tsv	0.02066232663458817	0.003679592414378715	[4.75, 2.25, 1.0, 0.25, 3.0, 1.0, 2.0, 0.25, 0.0, 1.5, 0.25, 0.25, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333]	[0.75, 0.25, 0.0, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0]	k00300002591§attraction_dataset.tsv	0.04726861024624965	[5.25, 3.75, 3.25, 1.25, 3.25, 3.25, 6.0, 1.0, 1.5, 4.75, 1.0, 0.5, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.6666666666666666, 4.0, 0.6666666666666666, 3.0]	k00300002591§ME.tsv	[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]	3	k00300002591§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	k00300002591§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
9783740911157	9783740911157§emotions_dataset.tsv	0.014803272302298403	0.02415270744059213	[0.75, 0.75, 0.75, 1.25, 0.25, 0.75, 0.25, 0.0, 0.75, 0.0, 0.25, 0.5, 1.25, 0.25, 0.0, 0.6666666666666666, 1.3333333333333333, 0.0, 0.3333333333333333, 0.0]	[1.0, 2.0, 1.75, 1.25, 1.75, 3.0, 0.25, 0.0, 0.75, 0.25, 1.0, 0.0, 0.0, 1.25, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]	9783740911157§character_dataset.tsv	0.0038955979742890533	0.007791195948578107	[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0]	[0.25, 0.5, 0.5, 0.0, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 1.25, 0.0, 0.0, 0.25, 0.0, 0.0, 0.3333333333333333, 0.0, 1.0, 0.0]	9783740911157§body_dataset.tsv	0.009738994935722634	0.0031164783794312427	[0.0, 0.25, 1.5, 0.0, 0.0, 0.25, 0.25, 1.75, 0.0, 0.0, 0.75, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0]	[0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]	9783740911157§attraction_dataset.tsv	0.01675107128944293	[0.0, 1.25, 1.0, 0.25, 1.75, 0.25, 0.75, 0.75, 0.25, 0.0, 0.25, 0.25, 0.75, 0.25, 0.5, 1.3333333333333333, 0.0, 1.6666666666666667, 0.3333333333333333, 0.0]	9783740911157§ME.tsv	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]	7	9783740911157§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]	9783740911157§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]
k00300002517	k00300002517§emotions_dataset.tsv	0.006864360241625481	0.005216913783635365	[0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 2.25, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.25, 0.0, 0.0, 0.5, 0.5]	[0.0, 0.0, 0.4, 0.0, 0.75, 0.0, 0.5, 0.25, 0.0, 0.25, 0.25, 0.25, 0.0, 0.25, 0.0, 0.75, 0.25, 0.5, 0.25, 0.0]	k00300002517§character_dataset.tsv	0.004942339373970346	0.0035694673256452497	[0.0, 0.0, 0.8, 0.4, 0.0, 0.0, 1.0, 1.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0]	[0.2, 0.0, 0.8, 0.0, 0.75, 0.0, 0.5, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	k00300002517§body_dataset.tsv	0.016474464579901153	0.003844041735310269	[1.0, 1.6, 2.2, 0.6, 0.0, 0.0, 1.25, 3.75, 0.25, 0.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.75, 0.0, 0.25, 0.0, 0.0]	[0.2, 0.0, 0.0, 0.2, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.0, 0.0, 0.5, 0.0]	k00300002517§attraction_dataset.tsv	0.029104887424492038	[0.2, 0.6, 0.4, 0.6, 0.5, 0.0, 4.75, 10.75, 0.25, 0.25, 0.0, 0.0, 0.0, 3.75, 0.0, 0.5, 0.5, 0.25, 2.25, 0.5]	k00300002517§ME.tsv	[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1]	3	k00300002517§HE.tsv	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	k00300002517§CO.tsv	[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt	Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt§emotions_dataset.tsv	0.024931438544003988	0.012964348042882073	[0.0, 0.4, 0.6, 1.8, 2.4, 3.2, 1.6, 1.25, 0.5, 1.5, 0.75, 0.5, 0.75, 2.25, 0.5, 0.5, 0.75, 0.75, 0.5, 2.0]	[0.2, 1.8, 0.8, 0.6, 0.6, 0.0, 1.0, 0.25, 0.75, 0.0, 0.0, 0.0, 0.5, 0.25, 0.25, 0.25, 0.25, 2.25, 0.25, 1.75]	Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt§character_dataset.tsv	0.013712291199202194	0.0037397157816005983	[0.0, 0.8, 1.0, 1.8, 1.0, 1.4, 0.8, 0.25, 0.0, 0.5, 0.25, 0.0, 0.0, 0.5, 0.25, 0.25, 0.25, 1.5, 0.75, 0.75]	[0.2, 0.6, 0.0, 0.2, 0.2, 0.4, 0.2, 0.5, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]	Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt§body_dataset.tsv	0.05734230865120917	0.0019945150835203192	[0.2, 5.4, 0.8, 5.8, 4.0, 8.4, 5.0, 0.25, 0.75, 0.25, 0.5, 0.75, 0.25, 5.0, 2.0, 0.25, 4.5, 4.5, 0.25, 1.25]	[0.0, 0.2, 0.2, 0.0, 0.2, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25]	Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt§attraction_dataset.tsv	0.13787085514834205	[0.2, 9.6, 1.8, 14.8, 9.2, 18.4, 9.8, 2.5, 2.75, 2.75, 1.75, 1.5, 2.0, 11.5, 6.0, 1.25, 8.75, 8.25, 5.25, 4.25]	Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt§ME.tsv	[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]	2	Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]	Stepping Up - Tanz und Träume$Hoffmann$Ärzte zum Verlieben$Cora$[tiffany] Tiffany Sexy Band 87.txt§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
k00300002060	k00300002060§emotions_dataset.tsv	0.025624802277760202	0.02341031319202784	[0.5, 1.0, 0.5, 0.5, 0.375, 2.25, 0.125, 0.375, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.7142857142857143, 0.0, 0.2857142857142857, 0.7142857142857143, 0.5714285714285714, 0.0, 0.2857142857142857, 1.0]	[0.5, 0.875, 0.5, 0.625, 1.125, 0.375, 0.0, 0.375, 0.8571428571428571, 0.0, 0.14285714285714285, 0.2857142857142857, 0.5714285714285714, 1.0, 0.8571428571428571, 0.7142857142857143, 0.5714285714285714, 0.2857142857142857, 0.0, 0.2857142857142857]	k00300002060§character_dataset.tsv	0.009490667510281556	0.0031635558367605187	[0.375, 0.25, 0.25, 0.0, 0.125, 0.5, 0.125, 0.25, 0.2857142857142857, 0.2857142857142857, 0.0, 0.0, 0.0, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.0, 0.14285714285714285]	[0.125, 0.25, 0.125, 0.125, 0.125, 0.125, 0.0, 0.125, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	k00300002060§body_dataset.tsv	0.01676684593483075	0.00506168933881683	[1.25, 0.5, 0.375, 0.375, 0.25, 1.0, 0.0, 0.375, 0.5714285714285714, 0.2857142857142857, 0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.8571428571428571]	[0.0, 0.0, 0.0, 0.25, 0.125, 0.25, 0.0, 0.0, 0.2857142857142857, 0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.0, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285, 0.14285714285714285, 0.0]	k00300002060§attraction_dataset.tsv	0.027839291363492565	[0.875, 0.375, 0.375, 0.5, 0.125, 1.625, 0.25, 0.75, 0.42857142857142855, 0.7142857142857143, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.8571428571428571, 0.42857142857142855, 0.8571428571428571, 1.2857142857142858, 0.14285714285714285, 0.2857142857142857, 1.2857142857142858]	k00300002060§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	7	k00300002060§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300002060§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
k00300002119	k00300002119§emotions_dataset.tsv	0.04520884520884521	0.02113022113022113	[2.0, 1.0, 1.3333333333333333, 1.3333333333333333, 1.6666666666666667, 1.0, 1.3333333333333333, 0.0, 2.0, 0.3333333333333333, 0.0, 3.3333333333333335, 5.333333333333333, 4.0, 0.6666666666666666, 0.3333333333333333, 1.3333333333333333, 0.3333333333333333, 0.0, 2.6666666666666665]	[0.0, 0.0, 0.0, 0.0, 0.0, 1.6666666666666667, 0.0, 0.0, 2.0, 0.0, 0.0, 0.3333333333333333, 3.6666666666666665, 0.6666666666666666, 0.3333333333333333, 0.0, 0.3333333333333333, 1.3333333333333333, 2.0, 2.0]	k00300002119§character_dataset.tsv	0.01818181818181818	0.014742014742014743	[0.0, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 1.6666666666666667, 0.0, 0.6666666666666666, 0.0, 0.6666666666666666, 0.0, 4.666666666666667, 1.3333333333333333, 0.3333333333333333, 0.0, 0.6666666666666666, 0.3333333333333333, 0.0, 1.0]	[0.25, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 1.0, 0.0, 4.333333333333333, 0.0, 0.0, 1.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666, 0.0, 1.0]	k00300002119§body_dataset.tsv	0.04864864864864865	0.002457002457002457	[0.0, 0.6666666666666666, 0.0, 1.0, 1.0, 0.6666666666666666, 5.333333333333333, 0.3333333333333333, 3.0, 0.3333333333333333, 0.6666666666666666, 1.3333333333333333, 9.0, 1.6666666666666667, 0.0, 3.0, 3.0, 0.6666666666666666, 0.0, 1.3333333333333333]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333]	k00300002119§attraction_dataset.tsv	0.0914004914004914	[0.5, 0.0, 0.0, 1.0, 1.0, 1.0, 4.333333333333333, 1.0, 7.0, 1.3333333333333333, 0.6666666666666666, 2.3333333333333335, 20.666666666666668, 7.666666666666667, 2.0, 2.0, 4.0, 0.6666666666666666, 1.6666666666666667, 3.0]	k00300002119§ME.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0]	4	k00300002119§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]	k00300002119§CO.tsv	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
k00300002511	k00300002511§emotions_dataset.tsv	0.023250239693192714	0.01725790987535954	[2.8, 0.4, 1.0, 1.0, 1.0, 0.25, 0.0, 0.5, 0.25, 3.75, 1.75, 0.75, 2.5, 2.25, 0.25, 0.25, 0.5, 0.5, 0.25, 3.5]	[1.4, 0.2, 2.25, 0.25, 0.25, 0.5, 1.0, 1.0, 0.25, 0.75, 1.5, 1.0, 1.5, 0.25, 0.5, 1.25, 1.25, 1.0, 0.75, 0.75]	k00300002511§character_dataset.tsv	0.012943432406519654	0.006711409395973154	[1.4, 1.0, 0.25, 0.5, 0.75, 0.5, 0.25, 0.25, 0.25, 2.25, 1.25, 0.0, 0.25, 1.25, 0.25, 0.0, 0.75, 0.25, 0.0, 1.5]	[0.4, 0.2, 0.0, 0.0, 0.75, 0.25, 0.0, 0.0, 0.25, 0.25, 0.5, 0.0, 0.5, 0.0, 0.25, 0.5, 1.25, 0.75, 0.0, 1.0]	k00300002511§body_dataset.tsv	0.04122722914669223	0.0011984659635666348	[6.8, 1.2, 1.25, 0.0, 1.0, 0.75, 0.25, 1.25, 1.5, 10.5, 6.0, 0.25, 0.25, 5.5, 0.5, 0.0, 0.75, 0.0, 0.0, 3.25]	[0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]	k00300002511§attraction_dataset.tsv	0.10019175455417066	[12.6, 4.0, 3.75, 1.5, 1.75, 2.25, 0.0, 2.5, 5.25, 22.5, 14.5, 1.5, 3.5, 10.75, 2.25, 1.0, 1.75, 1.0, 0.0, 8.0]	k00300002511§ME.tsv	[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]	3	k00300002511§HE.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]	k00300002511§CO.tsv	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
